model,recall@10,time_s,dim,lr,weight_decay,n_epochs,hidden_dim,dropout,max_seq_len
gru,0.02327778732176602,275.3,,0.0005,,100,256.0,0.3,50.0
gru,0.023063047586325373,189.2,,0.001,,100,64.0,0.1,50.0
gru,0.023063047586325373,297.6,,0.001,,150,64.0,0.1,100.0
gru,0.023020099639237245,291.5,,0.0005,,100,256.0,0.3,100.0
gru,0.02263356811544408,219.4,,0.001,,100,128.0,0.2,50.0
gru,0.022504724274179693,338.0,,0.001,,150,128.0,0.2,100.0
gru,0.022418828380003437,347.5,,0.0005,,150,128.0,0.2,100.0
gru,0.021774609173681497,320.6,,0.0005,,150,128.0,0.1,50.0
gru,0.021388077649888336,214.3,,0.0005,,100,128.0,0.1,50.0
gru,0.020915650231918916,295.6,,0.0005,,100,256.0,0.2,100.0
gru,0.020786806390654528,342.4,,0.0005,,150,128.0,0.1,100.0
gru,0.020743858443566396,234.9,,0.0005,,100,128.0,0.1,100.0
gru,0.020486170761037623,425.3,,0.0005,,150,256.0,0.3,100.0
gru,0.020400274866861363,216.4,,0.001,,100,128.0,0.1,50.0
gru,0.020400274866861363,237.0,,0.001,,100,128.0,0.1,100.0
gru,0.020400274866861363,308.3,,0.001,,100,256.0,0.3,100.0
gru,0.020357326919773235,316.6,,0.001,,150,128.0,0.2,50.0
gru,0.020357326919773235,403.8,,0.0005,,150,256.0,0.3,50.0
gru,0.020271431025596975,279.6,,0.0005,,100,256.0,0.2,50.0
gru,0.02018553513142072,299.2,,0.0005,,100,256.0,0.1,100.0
gru,0.020013743343068203,404.9,,0.0005,,150,256.0,0.2,50.0
gru,0.019841951554715683,291.3,,0.001,,100,256.0,0.3,50.0
gru,0.019756055660539427,273.0,,0.001,,100,256.0,0.2,50.0
gru,0.01958426387218691,427.6,,0.0005,,150,256.0,0.2,100.0
gru,0.019455420030922523,320.6,,0.001,,150,128.0,0.1,50.0
gru,0.019412472083834394,342.0,,0.001,,150,128.0,0.1,100.0
gru,0.018639409036248066,452.5,,0.001,,150,256.0,0.3,100.0
gru,0.018209929565366774,289.4,,0.001,,100,256.0,0.2,100.0
gru,0.018124033671190518,436.8,,0.0005,,150,256.0,0.1,100.0
gru,0.01786634598866174,289.4,,0.001,,100,256.0,0.1,100.0
gru,0.017823398041573613,419.1,,0.001,,150,256.0,0.3,50.0
gru,0.017737502147397353,412.9,,0.0005,,150,256.0,0.1,50.0
gru,0.017608658306132965,400.5,,0.001,,150,256.0,0.2,50.0
gru,0.01752276241195671,281.9,,0.0005,,100,256.0,0.1,50.0
gru,0.017350970623604193,425.2,,0.001,,150,256.0,0.1,100.0
gru,0.017350970623604193,432.5,,0.001,,150,256.0,0.2,100.0
gru,0.017222126782339805,273.0,,0.001,,100,256.0,0.1,50.0
gru,0.015676000687167152,400.2,,0.001,,150,256.0,0.1,50.0
